maker,name,price
DELL デル,FI779YD-BWHBSC [Inspiron 27 7000 フレームレスデスクトップ/第11世代 インテル Core i7-1165G7 プロセッサー/メモリ 8GB/SSD 512GB＋HDD 1TB/Windows 11 Home/Office Home＆Business 2021/シルバー/ヨドバシカメラ限定モデル/Dellデータ移行サービス付帯モデル],"￥189,800"
DELL デル,FI537YD-BWHBBC [Inspiron 24 5000 フレームレスデスクトップ/一体型デスクトップ/第11世代 インテル Core i3-1115G4 プロセッサー/メモリ 8GB/SSD 256GB/Windows 11 Home/Office Home＆Business 2021/ブラック/ヨドバシカメラ限定モデル/Dellデータ移行サービス付帯モデル],"￥132,800"
ミニズフォーラム MINISFORUM,UM350-8/256-W10Pro（3550H） [小型デスクトップパソコン/Ryzen 5 3550H/Radeon RX Vega 8 Graphics/メモリ 8GB/SSD 256GB/Windows 10 Pro],"￥50,080"
DELL デル,DI50-CHL [Inspiron 3891 デスクトップ/Core i5-11400/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/ブラック],"￥104,800"
HP,52P36PA-AAAA [HP Pavilion Desktop TP01-2000 G1モデル Ryzen 5 5600G/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/ナチュラルシルバー],"￥99,000"
レノボ･ジャパン Lenovo,F0G10048JP [デスクトップノートパソコン IdeaCentre AIO360/23.8型/AMD Ryzen 3 5300U プロセッサー/メモリ 8GB/SSD 512GB（PCIe NVMe/M.2）/Windows 11 Home 64bit（日本語版）/Microsoft Office Home ＆ Business 2021/ホワイト],"￥121,930"
ミニズフォーラム MINISFORUM,N40-4/64-W10Pro（N4020） [小型デスクトップパソコン/CPU：Intel Celeron Processor N4020/メモリ：4GB/ストレージ：eMMC 64GB/Windows 10 Pro 64bit],"￥21,780"
Acer エイサー,RN96-F58Y [Revo Box/Core i5-1135G7/メモリ 8GB/512GB SSD/Windows 11 Home（64bit）/ブラック],"￥99,800"
ミニズフォーラム MINISFORUM,HM50-16/512-W10Pro（4500U） [小型デスクトップパソコン/CPU：AMD Ryzen 5 4500U/メモリ：16GB/ストレージ：M.2 SSD NVMe 512GB/windows 10 Pro 64bit],"￥80,300"
NEC エヌイーシー,PC-A2365DAB [デスクトップパソコン 23.8型/Ryzen 7 5700U/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥225,780"
マウスコンピューター mouse computer,PCMIDV117G165P22C [デスクトップパソコン Core i7-11700/メモリ 16GB/SSD 1TB/HDD 2TB/GTX 1650/Windows 11 Pro/ブラック],"￥249,800"
レノボ･ジャパン Lenovo,F0FY0024JP [IdeaCentre AIO360/27型/AMD Ryzen 7 5700U プロセッサー/メモリ16GB/SSD512GB（PCIe NVMe/M.2）/Windows 11 Home 64bit（日本語版）/Microsoft Office Home ＆ Business 2021/ブラック],"￥151,800"
HP,52P36PA-AAAB [HP Pavilion Desktop TP01-2000 G1モデル Ryzen 5 5600G/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/Office Home ＆ Business 2019/ナチュラルシルバー],"￥121,000"
ASUS エイスース,PB62-B7275AH [デスクトップミニパソコン ASUS Mini PC PB62/Core i7-11700/メモリ 16GB/SSD 512GB/Windows 11 home/ブラック],"￥139,800"
HP,52M17PA-AAAA [HP Pavilion Desktop TP01-2000 G1モデル Ryzen 3 5300G/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/ナチュラルシルバー],"￥88,000"
マウスコンピューター mouse computer,PCMI117P21J [Windows11 Pro搭載デスクトップパソコン/Corei7-11700/メモリ 8GB/SSD 512GB （NVMe）/インテル UHD グラフィックス 750/DVDスーパーマルチドライブ/Windows11 Pro 64bit],"￥154,800"
ASUS エイスース,G15DK-R75R3070W11 [ROG Strix GA15 (G15DK) ゲーミングデスクトップパソコン/Ryzen 7 5800X/メモリ 16GB/SSD 512GB/RTX3070/Windows 11 Home/ブラック],"￥259,800"
富士通 FUJITSU,FMVF70F3W [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 8GB/SSD 512GB/DVDドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ホワイト],"￥181,780"
MSI エムエスアイ,AEGIS-TI5-12VTE-046JP [ゲーミングデスクトップパソコン/Core i7-12700K/RTX 3070Ti/メモリ 32GB/SSD 1TB＋HDD 1TB/Windows 11 Pro],"￥427,270"
NEC エヌイーシー,PC-A2335DAB [デスクトップパソコン 23.8型/Ryzen 3 5300U/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥198,280"
HP,52M17PA-AAAB [HP Pavilion Desktop TP01-2000 G1モデル Ryzen 3 5300G/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/Office Home ＆ Business 2019/ナチュラルシルバー],"￥110,000"
ASUS エイスース,PN41-S1-BC306AD [デスクトップミニパソコン ASUS Mini PC PN41-S1/Celeron N5100/メモリ 4GB/eMMC 64GB/Windows 11 pro/ブラック],"￥46,800"
ASUS エイスース,A5401WR-R75700LU [ASUS Zen AiO 23.8型/Ryzen7 5700U/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home and Business 2021/ホワイト],"￥169,800"
ミニズフォーラム MINISFORUM,UM700L-8/256-W10Pro（3750H） [超小型デスクトップパソコン/CPU：AMD Ryzen7 3750H/メモリ：8GB/SSD：256GB/OS：Windows 10 Pro搭載],"￥68,970"
NEC エヌイーシー,PC-A2377CAB [デスクトップパソコン 23.8型/Core i7-10510U/メモリ 8GB/SSD 1TB/Windows 11 Home/Microsoft Office Home ＆ Business 2021/ブラック],"￥221,990"
MSI エムエスアイ,P100X-12VTG-1094JP [デスクトップパソコン/Core i7-12700K/メモリ 32GB/SSD 1TB＋HDD 2TB/Windows 11 Pro],"￥340,000"
NEC エヌイーシー,PC-A2377DAB [デスクトップパソコン 23.8型/Ryzen 7 5700U/メモリ 16GB/SSD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥264,780"
アイ･オー･データ機器 I-O DATA,MPC-64WE1 [小型デスクトップパソコン Intel Celeron Processor N335/メモリー4GB/eMMC 64GB/Windows 10 IoT Enterprise 2019],"￥60,280"
ASUS エイスース,CHROMEBOX4-GC018UN [Chromebox デスクトップPC Celeron 5205U/メモリ 4GB/eMMC 64GB /Wi-Fi 6/Vesa Mount/Chrome OS],"￥48,790"
ASUS エイスース,CHROMEBOX4-G7021UN [Chromebox デスクトップPC i7-10510U/メモリ 16GB/SSD 256GB/Wi-Fi 6/Vesa Mount/Chrome OS],"￥103,940"
ASUS エイスース,VC66-C2B7205AN [デスクトップミニパソコン ASUS Mini PC VC66-C2/Core i7-10700/メモリ 16GB/SSD 512GB/Windows 11 Home/ブラック],"￥159,800"
マウスコンピューター mouse computer,PCMIDV109KP22P21C [クリエイター向けデスクトップパソコン/Core i9-10900K/32GB/SSD 512GB (NVMe)/HDD 4TB/Quadro P2200/DVDスーパーマルチドライブ/Windows10 Pro 64bit (DSP) /Office Home & Business 2019],"￥309,800"
MSI エムエスアイ,MODERN-AM242TP-11M-1260JP [オールインワンパソコン Core i5-1135G7/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021],"￥192,200"
ASUS エイスース,PB60G-B5372AD [デスクトップミニパソコン/Core i5-9400T/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home ブラック],"￥118,200"
マウスコンピューター mouse computer,PCMIDV119KT100P22C [デスクトップパソコン Core i9-11900K/メモリ 32GB/SSD 1TB/HDD 4TB/NVIDIA T1000/Windows 11 Pro（DSP）/ブラック],"￥334,800"
,【まとめ買い割引】デスクトップパソコン＋セキュリティソフトセット [富士通 FUJITSU FMVF70F3BC デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/ブラック＋ウイルスバスター クラウド 3年版],"￥232,210"
ミニズフォーラム MINISFORUM,TL50-16/512-W10Pro（1135G7） [超小型デスクトップパソコン/Intel Core i5-1135G7/メモリ 16GB/SSD 512GB/Windows 10 Pro搭載],"￥87,780"
